72 17 46 40.6 +25 44 57 161817  s85402   A2VI      ...E....JK   7636  3 -1 -1.13  0.06 FEH
70 12 15 10.6 -10 18 45 106516  s157168  F5V       A.D....I..   5929  4 -1 -0.57  0.00 FEH
71 17 21 07.1 +01 26 35 157089  s122301  F9V       ...E....JK   5727  4 -1 -0.56  0.00 FEH
65 12 25 35.0 +01 17 02 108177  s119389  G0V*      .CD....I..   6035  5 -1 -1.81  0.00 L
65 10 51 28.1 +20 16 39  94028  s81555   G1V*      .CD....I..   5905  5 -1 -1.56  0.00 L
66 16 30 28.5 +04 10 42 148816  s121653  G1V*      ...E....JK   5823  5 -1 -0.72  0.00 L
66 13 12 19.7 +17 31 02 114762  s100458  G1V*      ..D...HI..   5818  5 -1 -0.79  0.00 L
66 17 39 36.9 +37 11 02 160693  s66228   G2V*      ...E....JK   5718  5 -1 -0.50  0.00 L
66 13 32 31.0 +36 02 06 117858  s63594   G2V*      ...E..HI..   5713  5 -1 -0.61  0.00 L
67 15 44 51.7 +62 51 37 141335  s16836   G5V*      ..D.....JK   5643  5 -1 -0.95  0.00 L
67 13 39 59.6 +12 35 22         s100656  G5V*      ...E..HI..   5641  5 -1 -0.89  0.00 L
68 20 46 35.5 +59 51 09 198300  s32884   G7V*      ...E....JK   5590  5 -1 -0.87  0.00 L
68 15 48 58.5 +45 47 37         s45746   G7V*      ...E....JK   5567  5 -1 -0.25  0.00 L
68 17 39 55.1 +44 03 55         s46878   G7V*      ...E....JK   5537  5 -1 -0.51  0.00 L
68 13 16 11.3 +35 53 09 115349  s63437   G7V*      ...E..HI..   5505  5 -1 -0.49  0.00 L
69 18 59 57.6 +64 03 14         s18109   G8V*      ...E....JK   5404  5 -1 -0.29  0.00 L
69 16 23 06.1 +17 28 08 147750  s102117  G9V*      ...E....JK   5305  5 -1 -0.28  0.00 L
69 13 54 10.6 +10 14 53 121249  s100763  G9V*      ...E..HI..   5301  5 -1 -0.24  0.00 L
69 17 41 27.0 +70 27 52         g240-67  KOV*      ...E....JK   5159  5 -1 -0.43  0.00 L
